,fighter_name,height,weight
156,Andre Amado,182.88,69.916
157,Andre Ewell,172.72,61.29
158,Andre Fili,180.34,65.83
159,Andre Galvao,170.18,76.272
160,Andre Gusmao,182.88,93.07000000000001
161,Andre Muniz,187.96,83.99000000000001
162,Andre Mussi,190.5,109.86800000000001
163,Andre Pederneiras,172.72,70.37
164,Andre Roberts,187.96,156.63
165,Andre Santos,182.88,77.18
166,Andre Soukhamthath,175.26,61.29
167,Andre Walker,180.34,93.07000000000001
168,Andre Winner,180.34,70.37
169,Andrea Lee,167.64000000000001,56.75
170,Andreas Spang,185.42,83.99000000000001
171,Andreas Stahl,180.34,77.18
172,Andrei Arlovski,190.5,108.96000000000001
173,Andrei Kopylov,187.96,120.31
174,Andrei Semenov,182.88,83.99000000000001
175,Andrew Craig,185.42,77.18
176,Andrew Holbrook,180.34,70.37
177,Andrew Ramm,185.42,72.64
178,Andrew Sanchez,185.42,83.99000000000001
179,Andrew Todhunter,182.88,83.99000000000001
180,Andrews Nakahara,185.42,83.99000000000001
181,Andrey Koreshkov,182.88,77.18
182,Andy Anderson,167.64000000000001,108.96000000000001
183,Andy Enz,190.5,83.99000000000001
184,Andy Murad,175.26,83.99000000000001
185,Andy Ogle,172.72,65.83
186,Andy Ologun,182.88,69.916
187,Andy Uhrich,182.88,77.18
188,Andy Wang,167.64000000000001,70.37
189,Andy Waters,182.88,77.18
190,Angel De Anda,175.26,102.15
191,Angela Hill,160.02,52.21
192,Angela Magana,154.94,52.21
193,Angelo Trevino,180.34,77.18
194,Anistavio Medeiros,167.64000000000001,65.83
195,Anna Elmose,160.02,52.21
196,Ansar Chalangov,175.26,77.18
197,Anthony Adams,182.88,83.99000000000001
198,Anthony Avila,170.18,65.83
199,Anthony Birchak,172.72,61.29
200,Anthony Christodoulou,175.26,70.37
201,Anthony Do,162.56,56.75
202,Anthony Figueroa,162.56,61.29
203,Anthony Hamilton,195.57999999999998,118.04
204,Anthony Hernandez,182.88,83.99000000000001
205,Anthony Johnson,187.96,93.07000000000001
206,Anthony Lapsley,175.26,77.18
207,Anthony Leone,167.64000000000001,61.29
208,Anthony Macias,175.26,83.99000000000001
209,Anthony Morrison,170.18,65.83
210,Anthony Njokuani,185.42,70.37
211,Anthony Perosh,190.5,93.07000000000001
212,Anthony Pettis,177.8,77.18
213,Anthony Rocco Martin,182.88,77.18
214,Anthony Ruiz,187.96,93.07000000000001
215,Anthony Smith,193.04,93.07000000000001
216,Anthony Taylor,170.18,65.83
217,Anthony Torres,172.72,77.18
218,Anton Berzin,187.96,93.07000000000001
219,Anton Kuivanen,172.72,70.37
220,Anton Zafir,180.34,77.18
221,Antoni Hardonk,193.04,111.23
222,Antonina Shevchenko,172.72,56.75
223,Antonio Arroyo,182.88,83.99000000000001
224,Antonio Banuelos,165.1,61.29
225,Antonio Braga Neto,190.5,83.99000000000001
226,Antonio Carlos Junior,187.96,83.99000000000001
227,Antonio Carvalho,175.26,65.83
228,Antonio Dos Santos,177.8,83.99000000000001
229,Antonio Duarte,170.18,61.29
230,Antonio Jones,180.34,83.99000000000001
231,Antonio McKee,172.72,70.37
232,Antonio Mendes,190.5,93.07000000000001
233,Antonio Schembri,175.26,93.07000000000001
234,Antonio Silva,193.04,119.85600000000001
235,Antonio Trocoli,195.57999999999998,93.07000000000001
236,Antony Rea,182.88,93.07000000000001
237,Antwain Britt,185.42,93.07000000000001
238,Ariane Lipski,160.02,56.75
239,Ariel Beck,167.64000000000001,56.75
240,Ariel Gandulla,180.34,93.07000000000001
241,Arjan Bhullar,185.42,111.23
242,Arlene Blencowe,165.1,65.83
243,Arman Tsarukyan,170.18,70.37
244,Armando Villarreal,170.18,65.83
245,Arnold Allen,172.72,65.83
246,Art Arciniega,172.72,65.83
247,Art Jimmerson,185.42,88.98400000000001
248,Art Santore,187.96,83.99000000000001
249,Artem Frolov,177.8,83.99000000000001
250,Artem Lobov,175.26,65.83
251,Artur Oumakhanov,170.18,69.916
252,Asbel Cancio,177.8,102.15
253,Ashe Bowman,175.26,70.37
254,Ashkan Mokhtarian,167.64000000000001,56.75
255,Ashlee Evans-Smith,172.72,56.75
256,Ashley Yoder,170.18,52.21
257,Aspen Ladd,167.64000000000001,61.29
258,Assuerio Silva,177.8,109.414
259,Atsushi Yamamoto,167.64000000000001,63.106
260,Augusto Mendes,167.64000000000001,61.29
261,Augusto Montano,185.42,77.18
262,Augusto Sakai,190.5,120.31
263,Austen Lane,198.12,111.23
264,Austin Arnett,182.88,65.83
265,Austin Hubbard,177.8,70.37
266,Austin Springer,172.72,65.83
267,Austin Tweedy,175.26,70.37
268,Austin Vanderford,180.34,77.18
269,Azamat Gashimov,167.64000000000001,56.75
270,Azamat Murzakanov,180.34,93.07000000000001
271,BJ Penn,175.26,70.37
272,Bao Quach,160.02,65.83
273,Barb Honchak,162.56,56.75
274,Bart Palaszewski,175.26,65.83
275,Bartosz Fabinski,182.88,77.18
276,Bas Rutten,185.42,93.07000000000001
277,Bazigit Atajev,185.42,104.42
278,Bea Malecki,175.26,61.29
279,Bec Rawlings,167.64000000000001,56.75
280,Belal Muhammad,180.34,77.18
281,Ben Askren,180.34,77.18
282,Ben Earwood,172.72,77.18
283,Ben Holscher,180.34,70.37
284,Ben Lagman,187.96,83.99000000000001
285,Ben Nguyen,165.1,56.75
286,Ben Reiter,190.5,83.99000000000001
287,Ben Rothwell,193.04,120.31
288,Ben Saunders,187.96,77.18
289,Ben Wall,177.8,70.37
290,Bendy Casimir,165.1,65.83
291,Beneil Dariush,177.8,70.37
292,Benito Lopez,177.8,61.29
293,Benji Radach,177.8,83.99000000000001
294,Benny Alloway,180.34,77.18
295,Benson Henderson,175.26,77.18
296,Bentley Syler,162.56,56.75
297,Bernardo Magalhaes,175.26,70.37
298,Bertrand Amoussou,172.72,86.26
299,Besam Yousef,180.34,77.18
300,Bethe Correia,165.1,61.29
